课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
中国现当代女性文学研究,专业课程,非公选课,叶李,上得特别好，给分也不错,不考勤，会提问，有一次小组展示，论文结课,论文结课，三千字，主题随意,90,,
。,英语课,非公选课,。,。。。。。。。。。。。,。。。。。。。。。。。,。。。。。。。。。。。。。。。。。。,88,,
古典音乐与西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,从古希腊开始的西方音乐史,少量签到，基本无提问，无小组展示，无论文大作业,珞珈在线答题，选择填空,95,,
公共经济学,通识选修课（公选课）,社会科学与现代社会,柳新元,与国家经济有关 还有民生之类的,无考勤无平时作业 管的挺松的,闭卷考试 在考前会给你相关内容,80,,
博士英语,通识必修课（导引课）,非公选课,赵俭辉,老师很好，不考试，论文评分,不考勤，不用签到，也没有提问没有小组展示,小论文，也可能考试，不一定,80,,
大英2,公共课（高数、线代、大物和思政课等）,非公选课,钱妍,老师人很好，给分也不错！,签了一次，平时有小组作业,平时60%，考试40%,88,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,罗壮初,老师超级好，期末捞人力度大,可能签到，但事很少近于无,闭卷考试，复习两周冲刺,95,,
素质体育,体育课,非公选课,覃寅寅,老师有意思，给分高。,有签到，没有提问，论文，大作业,只要每节课都到就没有问题,90,,
线代,公共课（高数、线代、大物和思政课等）,非公选课,王六权,老师讲的很详细，讲解非常细致,有签到 有作业 作业分就是平时分,期末统考和平时分 平时作业如果都是99100平时分就是100,91,,
社会统计学,专业课程,非公选课,楼笛晴,社会统计学内容和stata,每周有小测和习作，期末论文+期末考试,论文和期末考试完成结课,94,,
自然科学经典导引,通识必修课（导引课）,非公选课,石瑛,事太多但又不得不上，最后应该稍微被捞了一下,课前测试+每周小组展示+每一章结束后要写课后作业,结课论文3000字以上,90,,
性传播疾病与青春期健康,通识选修课（公选课）,科学精神与生命关怀, ,有关青春期、性传播疾病的知识,有签到，无提问，结课小组展示,小组展示ppt和有关论文,91,,
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,张萌,马克思主义哲学、政治经济学、科学社会主义。老师很好，点名会提前说，没有作业，事少，无脑冲,3次签到，都会提前说，会有小组展示,学院统一考试，闭卷考试,92,,
音乐鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏川,课上会放很多纯音乐，要求买书,每次下课前小测，题目源于课本,考试，内容源于以往小测题和课本,97,,
高数,公共课（高数、线代、大物和思政课等）,非公选课,童欣,很棒，老师很有耐心，很负责任,有作业，没有提问，会有几次签到,闭卷考试和平时分相结合,96,,
数字信号处理,专业课程,非公选课,田应伟,老师很认真，就是有点念PPT,每节课都签到，有时候提问,就是普通的考试啦，难度还可以,84,,
移动编程技术,专业课程,非公选课,赵小刚,讲解移动编程技术，上课非常轻松，全靠自觉,几次小作业，最多也就几十分钟就能完成，但是需要苹果电脑,写一个移动app，需要连接数据库,98,,
发展经济学与中国经济发展,通识选修课（公选课）,社会科学与现代社会,李酣,讲一些发展经济学的知识，不是很难，结课考试也是开卷，但不知道为啥我最终成绩只有84（哭）,平时只有签到（不是次次都有），没有作业论文,开卷考试，在学习通平台线上考试但人要到考场来，可以看PPT,84,,
公共经济学,专业课程,非公选课,段永红,没有考勤，几乎不点名，可以不去上课,有作业，两次，40%,闭卷考试，闭卷考试闭卷考试,90,,
会计学原理,专业课程,非公选课,陈冬,老师人很好，给分也好,平常不点名没有作业，期末大作业有点难，但是很早就布置了，时间充裕,常规的闭卷考试，纸质答题的,80,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,陈一萍,老师很负责对学生很耐心,一次或两次期中 期末,闭卷考试，加上平时成绩,84,,
孩子想康康（）,专业课程,非公选课,只是康康（）,只是想去看看看看看看看,只是想去看看看看看看看,只是想去看看看看看看看,0,,
思想道德与法治,通识必修课（导引课）,非公选课,张荣华,上课的时候比较自由，解放课堂，老师讲的非常好,无签到，提问少，无小组展示,考试?平时分，平时分给的比较高,90,,
军事理论课,通识必修课（导引课）,非公选课,戴新武,有点无聊啊啊啊啊啊啊啊啊,有签到啊啊啊啊啊啊啊啊,目前还不太知道啊啊啊啊啊啊,85,,
中国古典园林,通识选修课（公选课）,艺术体验与审美鉴赏,宋菊芳,中国古典园林简介狮子林之类，通俗易懂,偶尔签到，有提问没有平时作业,考试，题目简单，平时做笔记就好,95,,
祭祖,专业课程,非公选课,蔡朝晖,硬核计科专业课，逝世就逝世,签到，提问，小作业、闭考，个个都有,闭卷考试，超级硬核，满纪律低,91,,
网球1,体育课,非公选课,邱闻勇,老师极好，给分高，教的好，很和蔼,上课室外教学，网球拍不需要自带,左右手接球，比较基础,92,,
自然科学人文导引,通识必修课（导引课）,非公选课,赵苹苹,主要介绍自然科学史上的一些经典和代表人物，介绍诸如古希腊三哲，牛顿，达尔文等,上课老师不定时检查签到，有拍照签到，有小组讨论，定时安排十题选择题的课堂小测验，期末作文结题,两篇定题作文和结论展示,85,,
瑜伽,体育课,非公选课,蔺老师,瑜伽 向太阳致敬式 古典瑜伽,平时每一次课都会点名 有考勤,期末考一套很简单的向太阳致敬式瑜伽 还有一个手写小感想,94,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,湛少锋,老师很负责很关心学生,他很少提问合格率很高,自己写三套卷子取最高分,9,,
数学分析2,专业课程,非公选课,马际华,主要是正常数分内容，老师会穿插实变内容,无签到，无期中考试，平时作业较多,仅有期末考试，考勤等不计入成绩,95,,
思想道德,通识选修课（公选课）,中华文化与世界文明,李顺彦,真的很一般，希望大家不要报,签到提问啥都有 烦得要死,考勤+考试 也不给划重点,80,,
大学生健康,通识选修课（公选课）,科学精神与生命关怀,刘晴,比较有意思，课程基本没多少事,有签到，不会提问，无小组展示平常也没什么事,根据问题回答，开卷没什么压力,86,,
遥感与生活,通识选修课（公选课）,科学精神与生命关怀,多个老师,就是讲讲通俗易懂的遥感知识 和生活联系起来,没有签到 没有小组 事情超级少,做ppt，和遥感有关就可以,92,,
社交礼仪,通识选修课（公选课）,社会科学与现代社会,李帅男,还不错，内容实用，老师会结合很多当下热点话题来举例,随即签到，课堂提问自愿回答、自愿个人/组队展示，都可以抵一次作业。,论文3000字起，不查重,88,,
高等数学B,公共课（高数、线代、大物和思政课等）,非公选课,湛少峰,高等数学，讲的很好 老师很细心,有作业安排，上课情况良好,期末统一闭卷考试，无论文,92,,
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,汪玉峰,上课不点名，期末给分好,作业一周两次，一周一交,数学闭卷考试，电子阅卷,94,,
中外建筑艺术与环境美学,通识选修课（公选课）,艺术体验与审美鉴赏,童乔慧,四个老师一起共同授课,四个老师一起共同授课,论文分组汇报平时点名,90,,
基础生物学实验,通识选修课（公选课）,科学精神与生命关怀,谢志雄，毛歆,各种生物实验（显微镜使用，制标本，解剖，电泳PCR...,每节课实验，当堂完成报告或小作业，没有小组展示没有论文，大作业做标本,开卷考试，只占百分之四十，答案PPT都有,86,,
新媒体研究,专业课程,非公选课,肖珺,讲课讲的很好，常常引人思考,需要提前5分钟签到，会随机抽问,论文、文献阅读、读书报告的形式,80,,
大学文明的历程,通识选修课（公选课）,中华文化与世界文明,黄明东,讲世界大学的发源历史等等,期中期末两次论文。每节课有签到。,论文两千字还是多少来着,81,,
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,主要是介绍旅行生活中需要注意的寄生虫病，重点在“寄生虫”,无签到无点名，两次很简单的课后作业,论文节课（不查重）3000字左右,91,,
艾滋病防治,通识选修课（公选课）,科学精神与生命关怀,侯祎,艾滋病发现过程 病毒基本知识,签到 思考题作为作业,开卷考试 不让带手机,90,,
